ISBN|书名|作者|出版社|出版日期|分类|价格|库存
9787111111111|Java编程思想|Bruce Eckel|机械工业出版社|2007-06-01|计算机|108.00|10
9787115279460|深入理解Java虚拟机|周志明|人民邮电出版社|2019-06-01|计算机|129.00|5
9787115428028|Effective Java|Joshua Bloch|机械工业出版社|2018-01-01|计算机|109.00|8
9787302418578|算法导论|Thomas H.Cormen|清华大学出版社|2013-01-01|计算机|128.00|6
9787115530154|代码整洁之道|Robert C.Martin|人民邮电出版社|2020-01-01|计算机|59.00|15
9787115530155|设计模式|Erich Gamma|机械工业出版社|2015-01-01|计算机|55.00|12
9787302297869|代码大全|Steve McConnell|电子工业出版社|2017-01-01|计算机|128.00|7
9787115397576|重构|Martin Fowler|人民邮电出版社|2019-01-01|计算机|89.00|9
9787115518729|程序员修炼之道|Andrew Hunt|电子工业出版社|2020-01-01|计算机|79.00|11
9787115362139|人月神话|Frederick P.Brooks|清华大学出版社|2015-01-01|计算机|59.00|13
